"Name","Discoverer","Color","Spec. Type","Class","R.A.","Dec.","R.A.'","Dec.'","v☉","vesc","vgal","Pbound","Phot.","Spec."
"HVS1","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon, Michael J. Kurtz","0.0487,-0.23907","B, B9, A","d, bhb","09:07:44.99,09:07:45.0,09:07:44.9916","+02:45:06.9,+02:45:07,+02:45:06.89,+02:45:06.88,+02:45:06.8706","0.08","-0.12","853,831.1","314.82","704.001","2.2746e-05","8",""
"HVS9","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon, Michael J. Kurtz, Benjamin C. Bromley","0.0495,-0.23671","B, B9, A","d, bhb","10:21:37.08,10:21:37.0844","-00:52:34.8,-00:52:34.77,-00:52:34.7364","-1.26","-0.25","632,616.8","361.792","688.69","2.2746e-05","8",""
"HVS4","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon, Michael J. Kurtz","-0.1987,-0.37141","B, B8, A","d, bhb","09:13:01.01,09:13:01.0,09:13:01.0029","+30:51:19.8,+30:51:20,+30:51:19.83,+30:51:19.8697","-0.23","-0.42","611,603,600.9","364.097","585.228","2.2746e-05","8",""
"HVS6","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon, Michael J. Kurtz","-0.0829,-0.29497","B9, B","d, bhb","11:05:57.45,11:05:57.4508","+09:34:39.47,+09:34:39.5,+09:34:39.4955","0.05","-0.503","609.4","416.617","549.937","2.2746e-05","8",""
"HVS13","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon","0.0514,-0.25515","B","d","10:52:48.3,10:52:48.31,10:52:48.3066","-00:01:33.94,-00:01:33.9,-00:01:33.8742","-0.9","0.46","575,569.3","343.126","728.924","2.2746e-05","8",""
"HVS5","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon, Michael J. Kurtz","0.0297,-0.21572","B, B8, A","d, bhb","09:17:59.48,09:17:59.5,09:17:59.47,09:17:59.4745","+67:22:38.3,+67:22:38,+67:22:38.35,+67:22:38.3622","-0.023","-1.179","553,543,545.5","388.047","669.578","2.2746e-05","8",""
"HVS8","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon, Michael J. Kurtz, Benjamin C. Bromley","-0.0804,-0.28501","B, B9, A","d, bhb","09:42:14.04,09:42:14.03,09:42:14.0364","+20:03:22.1,+20:03:22.07,+20:03:22.0443","-0.972","0.117","512,499.3","385.5","529.253","0.00111681","8",""
"HVS22","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon","-0.0288,-0.20811","A, B","d, bhb, g","11:41:46.44,11:41:46.4444","+04:42:17.29,+04:42:17.2969","0.184","1.987","597.8","402.976","1361.94","0.00151675","8",""
"HVS19","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon","0.1041,-0.23872","A","d","11:35:17.75,11:35:17.7529","+08:02:01.49,+08:02:01.4263","-0.295","0.413","597,592.8","393.183","1116.88","0.00191671","8",""
"HVS18","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon","0.0481,-0.20628","B","d","23:29:04.94,23:29:04.9504","+33:00:11.47,+33:00:11.5249","-0.123","-0.119","251,237.3","343.825","568.14","0.00971636","8",""
"HVS21","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon","-0.1681,-0.31723","B","d","10:34:18.25,10:34:18.2556","+48:11:34.57,+48:11:34.6071","0.099","-0.263","355,356.8","349.926","705.567","0.0233159","8",""
"HVS23","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon","0.2351,-0.19432","A, B","d, bhb, g","21:56:29.01,21:56:29.0206","+00:54:44.18,+00:54:44.2154","","","259.3","340.135","425.864","0.0586147","8",""
"HVS20","Warren R. Brown, Margaret J. Geller, Scott J. Kenyon","0.3504,-0.24193","A","d","11:36:37.13,11:36:37.137","+03:31:06.84,+03:31:06.9187","0.453","0.569","504,512.1","406.176","862.614","0.0590147","8",""
